22,
32,
8,
15,
8,
27,
3,5,3,6,3,7,3,8,
4,8,
5,1,5,2,5,3,5,4,
10,5,10,6,
11,4,11,6,11,7,
12,1,12,3,
13,2,13,3,13,4,13,5,13,8,
14,1,14,2,14,3,14,4,14,5,14,6,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,92,82,92,82,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,83,84,84,84,92,91,0,0,
0,0,0,0,0,84,105,105,105,105,105,105,105,105,105,105,105,105,105,85,0,0,86,97,82,84,84,84,82,92,82,0,
0,0,0,0,91,84,108,111,112,113,112,111,111,112,113,113,112,111,114,96,91,91,25,84,84,84,84,84,84,84,92,94,
0,0,0,0,91,84,25,83,92,82,83,82,25,25,25,97,4,86,4,39,4,86,25,105,105,84,84,84,105,105,82,94,
0,0,0,0,94,84,83,92,92,92,82,25,83,25,25,86,104,104,86,98,106,106,86,111,108,84,84,84,112,111,83,91,
0,0,0,0,91,84,25,82,92,25,83,25,25,87,86,25,25,104,25,84,94,94,104,86,104,105,105,105,83,82,25,94,
0,0,0,0,0,84,105,85,25,83,25,85,105,105,84,105,105,105,105,84,91,91,106,106,25,111,112,111,25,106,107,91,
0,0,0,0,94,84,111,96,82,82,25,96,112,111,84,108,112,112,111,84,91,0,0,94,97,25,25,83,83,91,0,0,
0,0,0,0,91,84,25,83,82,92,83,83,25,25,95,104,97,104,86,84,94,0,0,91,106,106,83,106,106,94,0,0,
0,0,0,0,94,84,83,82,93,93,82,92,82,83,103,4,4,86,4,84,91,0,0,0,0,0,25,0,0,0,0,0,
0,0,0,0,94,84,25,93,115,115,87,92,92,83,83,86,4,4,4,105,105,105,105,105,105,85,86,85,84,0,0,0,
0,0,0,0,91,84,93,93,116,117,115,93,82,97,86,4,86,4,4,111,111,112,112,111,114,96,56,96,84,0,0,0,
0,0,0,0,0,84,83,93,116,116,116,93,83,25,104,30,31,86,97,86,97,25,89,88,88,88,90,90,84,91,0,0,
0,0,0,0,91,84,82,93,93,82,93,82,92,92,83,42,43,104,25,89,88,89,88,90,88,90,90,90,84,94,0,0,
0,0,0,0,94,84,92,92,82,82,83,83,82,83,25,104,25,97,104,25,89,25,89,88,90,90,88,88,84,91,0,0,
0,0,0,0,94,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,94,0,0,
0,0,0,0,94,111,112,111,111,112,112,113,112,111,111,112,113,112,113,113,112,111,108,112,113,113,112,111,111,94,0,0,
0,0,0,0,94,106,106,106,106,107,106,106,106,106,106,106,106,107,107,107,106,106,106,107,106,106,106,106,107,91,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
